326.1565558,102671.8107,41053.55827,490275.9306,30309.00751,566464.7168,194411.7629,349671.2294,39184.55789
Frequency (Hz),Polyestirene_1,Polyestirene_2,Polyestirene_3,Polyestirene_4,Polyestirene_5,Polyestirene_6,Polyestirene_7,Polyestirene_8,Polyestirene_9,Polyestirene_10,100-400 nm_1,100-400 nm_2,100-400 nm_3,100-400 nm_4,100-400 nm_5,100-400 nm_6,100-400 nm_7,100-400 nm_8,60-300 nm_1,60-300 nm_2,60-300 nm_3,60-300 nm_4,60-300 nm_5,60-300 nm_6,60-300 nm_7,60-300 nm_8,500-1000 nm_1,500-1000 nm_,500-1000 nm_3,500-1000 nm_4,500-1000 nm_5,500-1000 nm_6,500-1000 nm_7,500-1000 nm_8
0,11839598.95,26515634.97,23283615.08,42394766.83,16364553.32,604346734,43294629.94,167478134.5,107211514,185973467.5,115283285.7,98520948.33,86949544.9,85903543.81,91896465.41,76212851.39,80583964.52,66058475.54,91915296.24,70710233.8,67755752.57,68815510.12,61104289.71,55186596.99,49994217.97,42478084.59,88480988.51,84680860.11,107294560.4,99738308.54,99955764.98,99727818.25,90087974.18,84609905.77
326.1565558,66709.94046,81179.33839,160126.1531,30890.90018,44579.05038,301716.3942,60675.40963,232938.4648,117086.7537,3616054.634,419919.3005,503258.582,518212.3862,489350.9894,488293.1825,505124.1164,507772.9572,507483.1259,888748.6172,663641.7096,636854.3663,694197.8634,404131.6243,341310.1709,336368.666,272824.9549,326266.1952,293742.7264,424221.6555,332621.7877,365149.9318,392614.9477,329639.6819,333112.9091
652.3131115,14813.56374,30750.35168,36203.67092,20205.79419,19893.57422,50439.40996,17432.01688,46470.98152,36726.37047,589832.8045,170090.4683,222352.6325,219390.9167,201631.8832,213729.5863,206793.3918,213569.9039,209593.9118,469479.2332,397494.1738,366220.583,336625.4572,172663.7237,149159.2197,138951.4444,117364.5303,138770.808,129140.8397,186713.2375,144907.3086,154805.0143,165386.4075,148776.3129,146370.6452
978.4696673,6615.094943,32002.17623,14398.05437,16760.00398,12683.68886,27435.51226,9706.913472,21066.08903,26704.90828,250980.7898,98251.45521,128047.0373,120218.442,114489.9152,118774.7752,122316.9112,116885.4617,122024.0874,270097.9044,260343.3256,237773.0875,181940.6856,94673.53908,85043.34043,78475.9073,66135.71742,78378.78386,73342.23893,106241.5035,82642.89941,89503.80828,95740.58688,83318.4814,83773.43031
1304.626223,4893.338471,17535.58935,7004.937758,15112.03209,11011.69208,16217.06233,7497.987444,15415.11524,16593.38655,149518.2187,79597.99222,106573.8813,102115.017,102332.6883,101709.6502,96071.26454,98565.51034,100874.0352,177715.7778,202491.4262,176701.0495,128822.9355,78678.90138,69000.75535,66675.55782,54552.34949,67522.56357,64563.11126,87039.76174,70001.29808,71294.78514,78577.19932,72747.3468,67500.50515
1630.782779,6399.612047,19991.44319,4855.872453,15899.86506,11804.26896,10414.00585,9278.522412,12785.78038,24116.48296,93719.06253,82220.42005,116161.7017,110554.4206,109422.4763,103662.3035,107225.5267,105715.8703,110978.3438,133899.6101,175025.8561,144551.0175,114924.1896,81799.12178,66632.26182,65589.8155,53676.44641,69188.21926,64697.85837,90368.98296,71359.70932,73971.11825,82074.47809,72123.90648,70046.49693
1956.939335,3956.651101,35637.68643,3288.001499,16729.29808,13985.35962,5669.387398,11401.31825,9530.622663,18902.0254,65810.06501,76390.00424,106838.728,99103.5468,99331.53622,90878.96831,95832.0115,98476.59162,102495.1021,101394.3401,132052.0934,103153.0788,87264.38297,68790.95236,54146.06046,54706.87821,44202.47282,57556.67717,54442.95058,73236.09228,59470.46925,62623.39394,67797.86807,62824.12795,59280.35555
2283.09589,3666.145478,23821.35991,2413.50058,23452.92194,35302.70559,5150.35335,7350.013259,9184.590773,24138.88692,51819.97688,64852.2989,87992.8784,86473.69156,84996.50948,80038.56984,79594.02886,80945.44197,82077.51098,77214.23074,101023.4047,76980.92738,70324.92011,52627.94852,43679.47416,43459.29036,35967.40933,45122.16064,42224.95956,63439.70546,46371.87152,50153.13966,56682.14719,51188.0928,47264.37659
2609.252446,4229.55211,28777.38512,1864.498235,18407.76921,20684.70543,3974.046869,6221.44646,11268.28249,49528.78634,42221.47402,70911.22339,93373.01992,87551.41156,85896.68872,80575.81553,83431.55839,87039.55416,84783.42948,75906.12685,93171.24162,72591.46216,73256.43664,59958.1573,49287.50372,49819.88942,42284.19558,50245.60509,46622.11906,68087.40426,51822.0232,57082.27269,62151.81474,58552.30593,52395.84612
2935.409002,7196.220538,82931.41,1539.815544,19953.11308,26736.40829,2480.235519,11373.97059,17943.86102,24508.88057,34998.62548,88828.30357,112613.0478,112935.5358,108482.8458,101968.9525,103333.2854,110748.361,109717.4076,93787.28996,99639.19423,88575.17469,96559.79294,84647.93827,72313.88109,66767.3356,58057.33661,70122.14348,63635.69302,91715.20548,66477.43821,76022.74051,85888.73944,75245.35742,73917.89203
3261.565558,44862.19356,186052.0284,1222.296286,114903.4705,293083.3886,2956.170347,95294.85597,72098.44417,144493.5404,30033.15623,116898.4085,163197.7054,158876.9154,156295.131,151224.5342,162968.4425,158196.2797,155223.7032,127554.4854,119511.6361,114807.3689,128102.8883,127217.309,105292.6794,99673.71089,87781.3578,98840.61804,87155.07535,123866.0694,98335.91841,103471.8754,115830.1713,98799.54234,97178.82228
3587.722114,9112.165071,55085.57343,1070.132446,28370.3297,49954.29246,1679.525444,29557.18189,15255.1763,43612.12877,25655.45876,89245.46409,118702.7537,118353.1616,117967.56,109318.0691,116070.2589,117078.2061,121776.6771,98502.30672,94847.47816,90040.09653,97651.64963,87954.88909,73234.16771,73675.64143,61778.24702,75951.80853,74572.74454,105101.7761,71675.96063,84478.92289,91379.23786,86700.19279,78446.47531
3913.878669,4079.171593,61528.35212,922.2451868,17772.01131,21134.73752,1665.002391,12581.3579,10421.40495,18748.41923,22380.35616,73782.19715,98241.64886,96725.81185,96751.49538,87270.91253,95733.04575,93933.77316,94569.17986,74691.99844,73946.82995,70046.40423,78709.52256,74095.75534,61144.64621,61754.15892,49866.40166,57681.67084,55887.41427,78103.9565,56323.53657,63724.73602,67588.81039,64181.63982,59421.98162
4240.035225,3566.405881,36014.70784,803.7223352,21181.05801,20752.29153,1200.63422,7096.443787,28862.5078,17060.01211,20898.78361,72605.31016,97906.15979,93311.42898,93769.80525,88005.47039,88082.37877,91420.75185,89041.18901,70362.25149,67384.53692,63793.23008,72577.90829,65932.88921,52982.10009,54031.91923,44268.83496,52594.63614,51341.8232,73631.94737,55242.92827,58212.88175,62643.08216,59507.45515,55907.49448
4566.191781,11411.53601,22490.26801,673.2823332,41589.41174,63526.6086,1464.534348,6161.432386,15961.31513,9787.90927,19052.57281,81126.72903,112627.0235,104110.543,105348.0924,103800.6525,106398.4065,104318.372,104292.2821,83883.90351,78643.79984,76583.14271,86421.59373,81097.52542,68776.78291,64568.28185,56320.37768,66339.58172,61276.53608,87191.11073,65966.13403,71418.11449,75993.17397,71250.40537,66662.24337
4892.348337,14087.4335,26799.38392,612.0965103,22598.91271,49277.48147,862.5408645,7372.302357,8127.581054,6703.687614,17634.06972,87365.03376,120853.8069,112433.5183,117356.0953,113185.044,119417.9103,110536.4388,118630.4885,95000.39903,88544.02652,90432.88747,99154.63194,93836.12866,76408.16893,78367.70929,62904.86458,78836.39485,73547.19162,101937.3459,77603.93844,82735.55691,89006.16383,84484.5341,82483.55097
5218.504892,4158.48423,15951.04864,570.9833507,18687.23032,19033.09706,1287.609366,24751.92684,12378.95221,5174.794705,16296.33839,82302.18166,109571.9305,110852.6952,106953.7922,103786.6994,110354.6001,101904.2338,105329.2553,83256.93695,76374.73605,78612.02467,86431.91967,79106.20303,65625.04297,67176.77497,56070.55203,69031.10869,64791.29549,92418.70146,71119.53942,75049.04847,80693.94653,74049.63015,74355.20805
5544.661448,3639.286678,9112.955495,507.9523568,17196.48929,16739.06977,890.7700648,32203.082,23299.08308,4191.757946,15973.31812,63823.8742,87364.56455,85119.86458,82107.8067,81363.22018,85241.69629,82607.68125,84780.51174,62806.73853,57136.27056,59595.73842,62271.1888,57918.07568,49165.16665,50174.1387,39497.12563,47745.60283,48621.66001,67045.1514,50739.38514,55743.88032,61962.18622,53605.28257,52000.83008
5870.818004,6120.471573,6840.555193,471.3831373,18727.56644,21101.79837,744.4313165,7996.93527,26949.80828,3888.768885,14989.76228,62951.54279,81089.29341,80659.99058,78246.03505,73021.40771,74308.51431,75181.8758,79104.88339,56971.77563,48893.12471,51283.43684,56075.25733,53292.51003,44606.77431,44659.60908,36159.30396,45810.73588,42422.43668,59492.16089,46313.94372,48208.41635,53968.73548,47811.35354,46415.64328
